id,happiness
8001,3.8420028747764623
8002,2.812625413692685
8003,3.310621702784809
8004,4.339161501330358
8005,3.284053192284739
8006,4.123833986722367
8007,3.952404359893751
8008,4.417105644722769
8009,4.052507780185502
8010,2.795255108483367
8011,3.0806532250539194
8012,3.862911260749278
8013,4.256672628144632
8014,3.6038556960537136
8015,3.6344004764295903
8016,4.422701201147315
8017,3.797269525630737
8018,4.420644157611688
8019,3.9169706779024365
8020,4.076138507271192
8021,4.198773688225187
8022,3.8398018835745886
8023,4.097002191299814
8024,3.6324680055699825
8025,2.9321914202550823
8026,4.048844985296665
8027,4.146729205556502
8028,4.006384005580847
8029,4.212679977069581
8030,4.264533195983177
8031,4.010421631788216
8032,4.217845305882791
8033,4.085856204331954
8034,3.5966435442238702
8035,3.6607305106701933
8036,4.631108796412077
8037,4.025620927719623
8038,4.145167321846801
8039,3.6408764996582925
8040,4.051288725207429
8041,4.1955818974265116
8042,3.8331558009416042
8043,3.872755804943234
8044,3.8783933817439262
8045,4.341552142244024
8046,3.8996848704239
8047,4.340528018423274
8048,4.018070310583536
8049,3.89129949512783
8050,4.318671084819583
8051,3.5527221761013696
8052,4.256148034099199
8053,3.0603303112595053
8054,3.961702898155283
8055,4.316271809676743
8056,2.82271556328098
8057,3.8965544666618093
8058,3.406064534026089
8059,3.1271658207459896
8060,4.22647861733814
8061,3.162667649255281
8062,3.518931349984485
8063,4.093870917067446
8064,4.170334063530631
8065,4.063469448194967
8066,4.089450544208559
8067,4.172767452772194
8068,4.149692890704118
8069,3.530977407895552
8070,4.176893323516032
8071,3.974080763574242
8072,4.398365848439428
8073,3.6861189926294267
8074,3.887190156530703
8075,3.44142341687254
8076,3.6868878647658505
8077,3.486849785454782
8078,3.8778363980719606
8079,4.5358282458767185
8080,3.9251018168456713
8081,3.9571663572285996
8082,3.9697109580548076
8083,4.273937489719177
8084,4.318052126486438
8085,4.530153757150134
8086,4.106665319910297
8087,4.0743193794271155
8088,4.199545635749701
8089,3.566189255948076
8090,3.7728524628499462
8091,4.171204897058
8092,3.8084517726996827
8093,4.103786035386092
8094,4.177151387363186
8095,4.623188045607555
8096,3.4651661708112345
8097,4.314001438642607
8098,3.8631054450603535
8099,3.5606963257165622
8100,4.124090686445204
8101,4.172697279902916
8102,4.16089739926054
8103,3.3432190375401265
8104,4.5647539794482075
8105,4.174788932587965
8106,4.242607422051096
8107,4.195887430674605
8108,4.009125829175927
8109,3.7029408089263893
8110,3.774008632422464
8111,4.1604077173299485
8112,3.66485601164294
8113,3.92369802695222
8114,4.238290077713146
8115,4.032563946948794
8116,4.021566501267934
8117,3.6773573224186396
8118,3.6331773444100905
8119,3.925429319397054
8120,4.389009907986891
8121,3.226549701466815
8122,4.260653404322387
8123,3.5696646526716576
8124,3.6888499450340584
